Protein,Protein Description,Protein Gene,A-100_0-14 Sum Normalized Area,A-100_0-28b Sum Normalized Area,A-100_0-42 Sum Normalized Area
sp|P51793|CLCN4_HUMAN,H(+)/Cl(-) exchange transporter 4 OS=Homo sapiens OX=9606 GN=CLCN4 PE=1 SV=2,CLCN4,3.7457E+4,4.1563E+4,3.3423E+4
sp|P61812|TGFB2_HUMAN,Transforming growth factor beta-2 proprotein OS=Homo sapiens OX=9606 GN=TGFB2 PE=1 SV=1,TGFB2,2.8670E+4,5.2103E+4,3.9357E+4
sp|Q00535|CDK5_HUMAN,Cyclin-dependent kinase 5 OS=Homo sapiens OX=9606 GN=CDK5 PE=1 SV=3,CDK5,3.5153E+4,2.9540E+4,3.4881E+4
sp|Q08431|MFGM_HUMAN,Lactadherin OS=Homo sapiens OX=9606 GN=MFGE8 PE=1 SV=3,MFGE8,4.2448E+5,4.1103E+5,3.8007E+5
sp|Q08722|CD47_HUMAN,Leukocyte surface antigen CD47 OS=Homo sapiens OX=9606 GN=CD47 PE=1 SV=1,CD47,3.5889E+6,3.4959E+6,3.6613E+6
sp|Q15149|PLEC_HUMAN,Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3,PLEC,4.3654E+7,6.0865E+7,6.6513E+7
sp|Q15334|L2GL1_HUMAN,Lethal(2) giant larvae protein homolog 1 OS=Homo sapiens OX=9606 GN=LLGL1 PE=1 SV=3,LLGL1,1.0166E+4,4.6640E+3,2.9017E+3
sp|Q7Z7H5|TMED4_HUMAN,Transmembrane emp24 domain-containing protein 4 OS=Homo sapiens OX=9606 GN=TMED4 PE=1 SV=1,TMED4,4.4984E+5,4.3206E+5,4.1716E+5
sp|Q86SF2|GALT7_HUMAN,N-acetylgalactosaminyltransferase 7 OS=Homo sapiens OX=9606 GN=GALNT7 PE=1 SV=1,GALNT7,1.1594E+4,#N/A,7.7724E+3
sp|Q8IZE3|PACE1_HUMAN,Protein-associating with the carboxyl-terminal domain of ezrin OS=Homo sapiens OX=9606 GN=SCYL3 PE=1 SV=3,SCYL3,8.1205E+3,4.4102E+3,5.4505E+3
sp|Q8NA72|POC5_HUMAN,Centrosomal protein POC5 OS=Homo sapiens OX=9606 GN=POC5 PE=1 SV=2,POC5,#N/A,#N/A,#N/A
sp|Q8NEB9|PK3C3_HUMAN,Phosphatidylinositol 3-kinase catalytic subunit type 3 OS=Homo sapiens OX=9606 GN=PIK3C3 PE=1 SV=1,PIK3C3,4.6816E+4,4.3618E+4,3.2764E+4
sp|Q9BUN1|MENT_HUMAN,Protein MENT OS=Homo sapiens OX=9606 GN=MENT PE=1 SV=1,MENT,9.9061E+5,8.9981E+5,9.4702E+5
sp|Q9BZH6|WDR11_HUMAN,WD repeat-containing protein 11 OS=Homo sapiens OX=9606 GN=WDR11 PE=1 SV=1,WDR11,1.7853E+5,1.8460E+5,2.0195E+5
sp|Q9H270|VPS11_HUMAN,Vacuolar protein sorting-associated protein 11 homolog OS=Homo sapiens OX=9606 GN=VPS11 PE=1 SV=1,VPS11,2.0123E+5,2.4701E+5,2.1946E+5
sp|Q9H4I3|TRABD_HUMAN,TraB domain-containing protein OS=Homo sapiens OX=9606 GN=TRABD PE=1 SV=1,TRABD,3.1730E+4,2.9728E+4,2.1400E+4
sp|Q9NWW5|CLN6_HUMAN,Ceroid-lipofuscinosis neuronal protein 6 OS=Homo sapiens OX=9606 GN=CLN6 PE=1 SV=1,CLN6,5.4230E+4,4.5191E+4,6.5622E+4
sp|A0A075B6K5|LV39_HUMAN,Immunoglobulin lambda variable 3-9 OS=Homo sapiens OX=9606 GN=IGLV3-9 PE=1 SV=1,IGLV3-9,1.0624E+6,1.1891E+6,1.2174E+6
sp|O15294|OGT1_HUMAN,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit OS=Homo sapiens OX=9606 GN=OGT PE=1 SV=3,OGT,3.1224E+3,5.2202E+3,4.5093E+3
sp|O15498|YKT6_HUMAN,Synaptobrevin homolog YKT6 OS=Homo sapiens OX=9606 GN=YKT6 PE=1 SV=1,YKT6,1.8609E+5,1.7233E+5,1.8481E+5
sp|P07814|SYEP_HUMAN,Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5,EPRS1,4.8166E+5,5.7586E+5,5.5196E+5
sp|P0DSN7|KVD37_HUMAN / sp|A0A075B6S9|KV137_HUMAN,"Probable non-functional immunoglobulinn kappa variable 1D-37 OS=Homo sapiens OX=9606 GN=IGKV1D-37 PE=1 SV=1
Probable non-functional immunoglobulinn kappa variable 1-37 OS=Homo sapiens OX=9606 GN=IGKV1-37 PE=1 SV=7",IGKV1D-37 / IGKV1-37,2.9987E+4,2.6634E+4,2.7002E+4
sp|P12236|ADT3_HUMAN,ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4,SLC25A6,9.8006E+5,1.0393E+6,9.9325E+5
sp|P30044|PRDX5_HUMAN,"Peroxiredoxin-5, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX5 PE=1 SV=4",PRDX5,4.2061E+6,3.9886E+6,4.2637E+6
sp|P46934|NEDD4_HUMAN,E3 ubiquitin-protein ligase NEDD4 OS=Homo sapiens OX=9606 GN=NEDD4 PE=1 SV=4,NEDD4,4.1576E+4,5.3348E+4,5.3348E+4
sp|P49354|FNTA_HUMAN,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha OS=Homo sapiens OX=9606 GN=FNTA PE=1 SV=1,FNTA,2.1814E+4,1.7559E+4,2.0714E+4
sp|P53804|TTC3_HUMAN,E3 ubiquitin-protein ligase TTC3 OS=Homo sapiens OX=9606 GN=TTC3 PE=1 SV=2,TTC3,#N/A,#N/A,#N/A
sp|P69905|HBA_HUMAN,Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2,HBA1,1.8884E+7,1.9379E+7,2.0312E+7
sp|Q06124|PTN11_HUMAN,Tyrosine-protein phosphatase non-receptor type 11 OS=Homo sapiens OX=9606 GN=PTPN11 PE=1 SV=3,PTPN11,7.4625E+4,5.7784E+4,6.4504E+4
sp|Q06323|PSME1_HUMAN,Proteasome activator complex subunit 1 OS=Homo sapiens OX=9606 GN=PSME1 PE=1 SV=1,PSME1,1.5822E+6,1.6954E+6,1.7769E+6
sp|Q08AE8|SPIR1_HUMAN,Protein spire homolog 1 OS=Homo sapiens OX=9606 GN=SPIRE1 PE=1 SV=3,SPIRE1,1.3055E+4,9.9571E+3,1.3862E+4
sp|Q0ZGT2|NEXN_HUMAN,Nexilin OS=Homo sapiens OX=9606 GN=NEXN PE=1 SV=1,NEXN,4.5151E+6,4.4708E+6,4.0328E+6
sp|Q5J8M3|EMC4_HUMAN,ER membrane protein complex subunit 4 OS=Homo sapiens OX=9606 GN=EMC4 PE=1 SV=2,EMC4,4.2994E+4,4.2129E+4,3.8714E+4
sp|Q6FI81|CPIN1_HUMAN,Anamorsin OS=Homo sapiens OX=9606 GN=CIAPIN1 PE=1 SV=2,CIAPIN1,2.0184E+5,1.6798E+5,1.5614E+5
sp|Q6UWE0|LRSM1_HUMAN,E3 ubiquitin-protein ligase LRSAM1 OS=Homo sapiens OX=9606 GN=LRSAM1 PE=1 SV=1,LRSAM1,2.0054E+4,3.6840E+4,4.3870E+4
sp|Q7L1Q6|5MP2_HUMAN,eIF5-mimic protein 2 OS=Homo sapiens OX=9606 GN=BZW1 PE=1 SV=1,BZW1,1.2053E+5,7.1095E+4,1.9023E+5
sp|Q8IZP9|AGRG2_HUMAN,Adhesion G-protein coupled receptor G2 OS=Homo sapiens OX=9606 GN=ADGRG2 PE=1 SV=2,ADGRG2,1.2721E+5,1.2156E+5,1.1339E+5
sp|Q92890|UFD1_HUMAN,Ubiquitin recognition factor in ER-associated degradation protein 1 OS=Homo sapiens OX=9606 GN=UFD1 PE=1 SV=3,UFD1,2.6706E+5,1.6808E+5,2.3024E+5
sp|Q969T3|SNX21_HUMAN,Sorting nexin-21 OS=Homo sapiens OX=9606 GN=SNX21 PE=1 SV=1,SNX21,8.4824E+3,4.2375E+3,6.5167E+3
sp|Q99683|M3K5_HUMAN,Mitogen-activated protein kinase kinase kinase 5 OS=Homo sapiens OX=9606 GN=MAP3K5 PE=1 SV=1,MAP3K5,3.3988E+5,3.6290E+5,4.1501E+5
sp|Q9NZ43|USE1_HUMAN,Vesicle transport protein USE1 OS=Homo sapiens OX=9606 GN=USE1 PE=1 SV=2,USE1,7.6962E+4,4.4442E+4,6.1368E+4
sp|Q9P126|CLC1B_HUMAN,C-type lectin domain family 1 member B OS=Homo sapiens OX=9606 GN=CLEC1B PE=1 SV=2,CLEC1B,1.1571E+6,1.1930E+6,1.2877E+6
sp|Q9UBV8|PEF1_HUMAN,Peflin OS=Homo sapiens OX=9606 GN=PEF1 PE=1 SV=1,PEF1,1.2455E+5,1.3134E+5,1.1917E+5
sp|Q9UL15|BAG5_HUMAN,BAG family molecular chaperone regulator 5 OS=Homo sapiens OX=9606 GN=BAG5 PE=1 SV=1,BAG5,9.9556E+4,1.1746E+5,1.0801E+5
sp|Q9UP79|ATS8_HUMAN,A disintegrin and metalloproteinase with thrombospondin motifs 8 OS=Homo sapiens OX=9606 GN=ADAMTS8 PE=1 SV=2,ADAMTS8,1.8598E+5,2.1004E+5,1.4713E+5
sp|O43427|FIBP_HUMAN,Acidic fibroblast growth factor intracellular-binding protein OS=Homo sapiens OX=9606 GN=FIBP PE=1 SV=3,FIBP,2.1237E+5,2.4291E+5,1.9425E+5
sp|O95340|PAPS2_HUMAN,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 OS=Homo sapiens OX=9606 GN=PAPSS2 PE=1 SV=2,PAPSS2,1.3394E+5,1.3084E+5,1.3779E+5
sp|P0DTE1|HV383_HUMAN,Probable non-functional immunoglobulin heavy variable 3-38-3 OS=Homo sapiens OX=9606 GN=IGHV3-38-3 PE=1 SV=1,IGHV3-38-3,5.2452E+5,5.5918E+5,4.8318E+5
sp|P29353|SHC1_HUMAN,SHC-transforming protein 1 OS=Homo sapiens OX=9606 GN=SHC1 PE=1 SV=4,SHC1,5.6751E+4,8.7527E+4,8.7488E+4
sp|P41236|IPP2_HUMAN,Protein phosphatase inhibitor 2 OS=Homo sapiens OX=9606 GN=PPP1R2 PE=1 SV=2,PPP1R2,9.1751E+4,8.4911E+4,8.8450E+4
sp|P42331|RHG25_HUMAN,Rho GTPase-activating protein 25 OS=Homo sapiens OX=9606 GN=ARHGAP25 PE=1 SV=2,ARHGAP25,1.4142E+5,1.2926E+5,1.2178E+5
sp|P53675|CLH2_HUMAN,Clathrin heavy chain 2 OS=Homo sapiens OX=9606 GN=CLTCL1 PE=1 SV=2,CLTCL1,#N/A,#N/A,#N/A
sp|Q13459|MYO9B_HUMAN,Unconventional myosin-IXb OS=Homo sapiens OX=9606 GN=MYO9B PE=1 SV=3,MYO9B,8.7379E+5,6.8944E+5,9.7342E+5
sp|Q14393|GAS6_HUMAN,Growth arrest-specific protein 6 OS=Homo sapiens OX=9606 GN=GAS6 PE=1 SV=3,GAS6,1.8209E+6,1.8550E+6,1.7546E+6
sp|Q14520|HABP2_HUMAN,Hyaluronan-binding protein 2 OS=Homo sapiens OX=9606 GN=HABP2 PE=1 SV=1,HABP2,5.3511E+8,5.4320E+8,5.4863E+8
sp|Q15418|KS6A1_HUMAN,Ribosomal protein S6 kinase alpha-1 OS=Homo sapiens OX=9606 GN=RPS6KA1 PE=1 SV=2,RPS6KA1,2.5398E+4,2.9337E+4,6.7950E+3
sp|Q6ZT21|TMPPE_HUMAN,Transmembrane protein with metallophosphoesterase domain OS=Homo sapiens OX=9606 GN=TMPPE PE=1 SV=2,TMPPE,7.2212E+4,7.0160E+4,7.4715E+4
sp|Q7Z3V4|UBE3B_HUMAN,Ubiquitin-protein ligase E3B OS=Homo sapiens OX=9606 GN=UBE3B PE=1 SV=3,UBE3B,#N/A,6.5526E+3,6.3914E+3
sp|Q8IY33|MILK2_HUMAN,MICAL-like protein 2 OS=Homo sapiens OX=9606 GN=MICALL2 PE=1 SV=1,MICALL2,1.4124E+5,1.6819E+5,1.5422E+5
sp|Q8NBM8|PCYXL_HUMAN,Prenylcysteine oxidase-like OS=Homo sapiens OX=9606 GN=PCYOX1L PE=1 SV=2,PCYOX1L,5.5297E+5,6.8919E+5,5.9303E+5
sp|Q96AJ9|VTI1A_HUMAN,Vesicle transport through interaction with t-SNAREs homolog 1A OS=Homo sapiens OX=9606 GN=VTI1A PE=1 SV=2,VTI1A,1.1335E+4,7.9978E+3,1.4576E+4
sp|Q96CW5|GCP3_HUMAN,Gamma-tubulin complex component 3 OS=Homo sapiens OX=9606 GN=TUBGCP3 PE=1 SV=2,TUBGCP3,1.7600E+5,2.2221E+5,1.9540E+5
sp|Q99829|CPNE1_HUMAN,Copine-1 OS=Homo sapiens OX=9606 GN=CPNE1 PE=1 SV=1,CPNE1,9.5850E+5,1.0001E+6,1.0720E+6
sp|Q9HCH0|NCK5L_HUMAN,Nck-associated protein 5-like OS=Homo sapiens OX=9606 GN=NCKAP5L PE=1 SV=4,NCKAP5L,2.5848E+3,4.8191E+3,2.8658E+3
sp|Q9UDY2|ZO2_HUMAN,Tight junction protein ZO-2 OS=Homo sapiens OX=9606 GN=TJP2 PE=1 SV=2,TJP2,5.3822E+6,5.3059E+6,5.6456E+6
sp|Q9UJX3|APC7_HUMAN,Anaphase-promoting complex subunit 7 OS=Homo sapiens OX=9606 GN=ANAPC7 PE=1 SV=5,ANAPC7,7.3345E+4,2.3022E+4,4.1129E+5
sp|Q9ULH1|ASAP1_HUMAN,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ASAP1 PE=1 SV=4",ASAP1,8.6893E+5,1.0210E+6,9.2035E+5
sp|Q9UPM6|LHX6_HUMAN,LIM/homeobox protein Lhx6 OS=Homo sapiens OX=9606 GN=LHX6 PE=1 SV=2,LHX6,#N/A,#N/A,#N/A
sp|Q9UPY6|WASF3_HUMAN,Actin-binding protein WASF3 OS=Homo sapiens OX=9606 GN=WASF3 PE=1 SV=2,WASF3,8.3714E+4,4.6836E+4,7.7400E+4
sp|Q9Y2R9|RT07_HUMAN,Small ribosomal subunit protein uS7m OS=Homo sapiens OX=9606 GN=MRPS7 PE=1 SV=2,MRPS7,2.6909E+3,#N/A,#N/A
sp|Q9Y4E1|WAC2C_HUMAN,WASH complex subunit 2C OS=Homo sapiens OX=9606 GN=WASHC2C PE=1 SV=5,WASHC2C,8.8618E+4,8.0594E+4,7.8115E+4
sp|Q9Y6A9|SPCS1_HUMAN,Signal peptidase complex subunit 1 OS=Homo sapiens OX=9606 GN=SPCS1 PE=1 SV=5,SPCS1,8.3810E+4,4.4645E+4,6.9516E+4
sp|O00139|KIF2A_HUMAN,Kinesin-like protein KIF2A OS=Homo sapiens OX=9606 GN=KIF2A PE=1 SV=3,KIF2A,1.2302E+6,1.2751E+6,1.3015E+6
sp|O14787|TNPO2_HUMAN,Transportin-2 OS=Homo sapiens OX=9606 GN=TNPO2 PE=1 SV=3,TNPO2,5.1775E+4,5.4344E+4,6.8206E+4
sp|O75251|NDUS7_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS7 PE=1 SV=3",NDUFS7,2.2829E+5,2.4732E+5,2.3713E+5
sp|P01599|KV117_HUMAN,Immunoglobulin kappa variable 1-17 OS=Homo sapiens OX=9606 GN=IGKV1-17 PE=1 SV=2,IGKV1-17,3.0909E+5,3.8374E+5,3.6676E+5
sp|P02686|MBP_HUMAN,Myelin basic protein OS=Homo sapiens OX=9606 GN=MBP PE=1 SV=3,MBP,6.5322E+5,4.3093E+5,6.3554E+5
sp|P02730|B3AT_HUMAN,Band 3 anion transport protein OS=Homo sapiens OX=9606 GN=SLC4A1 PE=1 SV=3,SLC4A1,3.3151E+6,3.2209E+6,3.1121E+6
sp|P06744|G6PI_HUMAN,Glucose-6-phosphate isomerase OS=Homo sapiens OX=9606 GN=GPI PE=1 SV=4,GPI,4.6426E+6,4.5033E+6,4.3665E+6
sp|P12931|SRC_HUMAN,Proto-oncogene tyrosine-protein kinase Src OS=Homo sapiens OX=9606 GN=SRC PE=1 SV=3,SRC,5.0931E+6,5.2787E+6,5.1591E+6
sp|Q13464|ROCK1_HUMAN,Rho-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=ROCK1 PE=1 SV=1,ROCK1,2.5216E+6,2.2788E+6,2.1597E+6
sp|Q8N3F0|MTURN_HUMAN,Maturin OS=Homo sapiens OX=9606 GN=MTURN PE=1 SV=2,MTURN,#N/A,#N/A,1.9849E+4
sp|Q8WV99|ZFN2B_HUMAN,AN1-type zinc finger protein 2B OS=Homo sapiens OX=9606 GN=ZFAND2B PE=1 SV=1,ZFAND2B,5.5366E+4,4.2239E+4,4.5586E+4
sp|Q9NTK5|OLA1_HUMAN,Obg-like ATPase 1 OS=Homo sapiens OX=9606 GN=OLA1 PE=1 SV=2,OLA1,5.4701E+5,6.2999E+5,6.8693E+5
sp|Q9NW68|BSDC1_HUMAN,BSD domain-containing protein 1 OS=Homo sapiens OX=9606 GN=BSDC1 PE=1 SV=1,BSDC1,1.3828E+5,9.2166E+4,1.3897E+5
sp|Q9UFN0|NPS3A_HUMAN,Protein NipSnap homolog 3A OS=Homo sapiens OX=9606 GN=NIPSNAP3A PE=1 SV=2,NIPSNAP3A,1.3546E+6,1.5726E+6,1.2458E+6
sp|Q9UQM7|KCC2A_HUMAN,Calcium/calmodulin-dependent protein kinase type II subunit alpha OS=Homo sapiens OX=9606 GN=CAMK2A PE=1 SV=2,CAMK2A,#N/A,1.7354E+4,1.1202E+4
sp|Q9Y371|SHLB1_HUMAN,Endophilin-B1 OS=Homo sapiens OX=9606 GN=SH3GLB1 PE=1 SV=1,SH3GLB1,3.8254E+5,2.9210E+5,2.6558E+5
sp|Q9Y646|CBPQ_HUMAN,Carboxypeptidase Q OS=Homo sapiens OX=9606 GN=CPQ PE=1 SV=1,CPQ,6.8626E+4,8.9717E+4,8.2520E+4
sp|O00764|PDXK_HUMAN,Pyridoxal kinase OS=Homo sapiens OX=9606 GN=PDXK PE=1 SV=1,PDXK,1.3147E+4,8.5566E+3,1.0775E+4
sp|O15155|BET1_HUMAN,BET1 homolog OS=Homo sapiens OX=9606 GN=BET1 PE=1 SV=1,BET1,1.0004E+5,1.2876E+5,1.2604E+5
sp|O43615|TIM44_HUMAN,Mitochondrial import inner membrane translocase subunit TIM44 OS=Homo sapiens OX=9606 GN=TIMM44 PE=1 SV=2,TIMM44,1.1015E+5,1.9439E+5,2.0873E+5
sp|O95571|ETHE1_HUMAN,"Persulfide dioxygenase ETHE1, mitochondrial OS=Homo sapiens OX=9606 GN=ETHE1 PE=1 SV=2",ETHE1,5.9125E+5,5.9067E+5,5.8129E+5
sp|P01009|A1AT_HUMAN,Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=3,SERPINA1,3.9223E+7,3.9015E+7,3.7875E+7
sp|P05062|ALDOB_HUMAN,Fructose-bisphosphate aldolase B OS=Homo sapiens OX=9606 GN=ALDOB PE=1 SV=2,ALDOB,4.6346E+4,4.6390E+4,4.9976E+4
sp|P40306|PSB10_HUMAN,Proteasome subunit beta type-10 OS=Homo sapiens OX=9606 GN=PSMB10 PE=1 SV=1,PSMB10,5.0874E+5,5.5677E+5,5.4603E+5
sp|P42892|ECE1_HUMAN,Endothelin-converting enzyme 1 OS=Homo sapiens OX=9606 GN=ECE1 PE=1 SV=2,ECE1,2.4033E+6,3.2699E+6,3.3241E+6
sp|P45954|ACDSB_HUMAN,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADSB PE=1 SV=1",ACADSB,5.1657E+5,5.3194E+5,5.3532E+5
sp|P61923|COPZ1_HUMAN,Coatomer subunit zeta-1 OS=Homo sapiens OX=9606 GN=COPZ1 PE=1 SV=1,COPZ1,3.4085E+5,3.8960E+5,3.6993E+5
sp|P82912|RT11_HUMAN,Small ribosomal subunit protein uS11m OS=Homo sapiens OX=9606 GN=MRPS11 PE=1 SV=2,MRPS11,3.2543E+3,3.7073E+3,4.0698E+3
sp|Q13177|PAK2_HUMAN,Serine/threonine-protein kinase PAK 2 OS=Homo sapiens OX=9606 GN=PAK2 PE=1 SV=3,PAK2,3.5293E+5,5.1306E+5,6.0489E+5
sp|Q13490|BIRC2_HUMAN / sp|Q13489|BIRC3_HUMAN,"Baculoviral IAP repeat-containing protein 2 OS=Homo sapiens OX=9606 GN=BIRC2 PE=1 SV=2
Baculoviral IAP repeat-containing protein 3 OS=Homo sapiens OX=9606 GN=BIRC3 PE=1 SV=2",BIRC2 / BIRC3,1.2131E+4,1.0529E+4,8.6498E+3
sp|Q15293|RCN1_HUMAN,Reticulocalbin-1 OS=Homo sapiens OX=9606 GN=RCN1 PE=1 SV=1,RCN1,6.7841E+5,6.9656E+5,7.0641E+5
sp|Q15526|SURF1_HUMAN,Surfeit locus protein 1 OS=Homo sapiens OX=9606 GN=SURF1 PE=1 SV=1,SURF1,1.1894E+5,1.2751E+5,1.1751E+5
sp|Q6YHK3|CD109_HUMAN,CD109 antigen OS=Homo sapiens OX=9606 GN=CD109 PE=1 SV=2,CD109,2.8795E+6,2.9581E+6,2.9597E+6
sp|Q8IWL2|SFTA1_HUMAN / sp|Q8IWL1|SFPA2_HUMAN,"Pulmonary surfactant-associated protein A1 OS=Homo sapiens OX=9606 GN=SFTPA1 PE=1 SV=2
Pulmonary surfactant-associated protein A2 OS=Homo sapiens OX=9606 GN=SFTPA2 PE=1 SV=2",SFTPA1 / SFTPA2,2.1872E+4,1.8904E+4,1.6102E+4
sp|Q8NCE2|MTMRE_HUMAN,"Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR14 OS=Homo sapiens OX=9606 GN=MTMR14 PE=1 SV=2",MTMR14,1.2234E+5,1.4820E+5,1.0780E+5
sp|Q9NXN4|GDAP2_HUMAN,Ganglioside-induced differentiation-associated protein 2 OS=Homo sapiens OX=9606 GN=GDAP2 PE=1 SV=1,GDAP2,5.4784E+3,1.0638E+4,9.2807E+3
sp|Q9P000|COMD9_HUMAN,COMM domain-containing protein 9 OS=Homo sapiens OX=9606 GN=COMMD9 PE=1 SV=2,COMMD9,5.9924E+4,7.4985E+4,5.6302E+4
sp|Q9Y2Q0|AT8A1_HUMAN,Phospholipid-transporting ATPase IA OS=Homo sapiens OX=9606 GN=ATP8A1 PE=1 SV=1,ATP8A1,8.4197E+5,8.2877E+5,9.1781E+5
sp|Q9Y5C1|ANGL3_HUMAN,Angiopoietin-related protein 3 OS=Homo sapiens OX=9606 GN=ANGPTL3 PE=1 SV=1,ANGPTL3,1.4420E+5,1.1914E+5,1.0681E+5
sp|O14730|RIOK3_HUMAN,Serine/threonine-protein kinase RIO3 OS=Homo sapiens OX=9606 GN=RIOK3 PE=1 SV=2,RIOK3,2.3094E+3,2.4613E+3,#N/A
sp|O60826|CCD22_HUMAN,Coiled-coil domain-containing protein 22 OS=Homo sapiens OX=9606 GN=CCDC22 PE=1 SV=1,CCDC22,2.8057E+5,2.8859E+5,2.6227E+5
sp|O75309|CAD16_HUMAN,Cadherin-16 OS=Homo sapiens OX=9606 GN=CDH16 PE=1 SV=1,CDH16,1.9546E+5,1.8629E+5,2.7414E+5
sp|O95782|AP2A1_HUMAN,AP-2 complex subunit alpha-1 OS=Homo sapiens OX=9606 GN=AP2A1 PE=1 SV=3,AP2A1,2.2117E+6,2.4312E+6,2.2918E+6
sp|P01701|LV151_HUMAN,Immunoglobulin lambda variable 1-51 OS=Homo sapiens OX=9606 GN=IGLV1-51 PE=1 SV=2,IGLV1-51,1.2444E+6,1.3495E+6,1.3254E+6
sp|P11182|ODB2_HUMAN,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DBT PE=1 SV=4",DBT,4.8202E+5,4.5479E+5,4.4061E+5
sp|P14868|SYDC_HUMAN,"Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=DARS1 PE=1 SV=2",DARS1,1.3618E+6,1.4215E+6,1.3584E+6
sp|P35052|GPC1_HUMAN,Glypican-1 OS=Homo sapiens OX=9606 GN=GPC1 PE=1 SV=2,GPC1,8.1616E+4,9.8326E+4,9.2394E+4
sp|P35244|RFA3_HUMAN,Replication protein A 14 kDa subunit OS=Homo sapiens OX=9606 GN=RPA3 PE=1 SV=1,RPA3,1.1693E+4,#N/A,1.3077E+4
sp|P35555|FBN1_HUMAN,Fibrillin-1 OS=Homo sapiens OX=9606 GN=FBN1 PE=1 SV=4,FBN1,1.3569E+7,1.3843E+7,1.4008E+7
sp|P37802|TAGL2_HUMAN,Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3,TAGLN2,7.1668E+7,7.5959E+7,7.1781E+7
sp|P40189|IL6RB_HUMAN,Interleukin-6 receptor subunit beta OS=Homo sapiens OX=9606 GN=IL6ST PE=1 SV=2,IL6ST,4.1749E+5,4.3140E+5,4.5266E+5
sp|P49588|SYAC_HUMAN,"Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2",AARS1,2.1237E+6,2.0865E+6,2.2147E+6
sp|P49903|SPS1_HUMAN,"Selenide, water dikinase 1 OS=Homo sapiens OX=9606 GN=SEPHS1 PE=1 SV=2",SEPHS1,7.5389E+3,8.9365E+3,4.6050E+3
sp|Q02127|PYRD_HUMAN,"Dihydroorotate dehydrogenase (quinone), mitochondrial OS=Homo sapiens OX=9606 GN=DHODH PE=1 SV=3",DHODH,3.4116E+4,3.1786E+4,3.2582E+4
sp|Q10469|MGAT2_HUMAN,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase OS=Homo sapiens OX=9606 GN=MGAT2 PE=1 SV=1",MGAT2,1.7660E+5,2.6204E+5,2.3602E+5
sp|Q562E7|WDR81_HUMAN,WD repeat-containing protein 81 OS=Homo sapiens OX=9606 GN=WDR81 PE=1 SV=2,WDR81,8.1094E+4,9.1883E+4,8.6096E+4
sp|Q5T749|KPRP_HUMAN,Keratinocyte proline-rich protein OS=Homo sapiens OX=9606 GN=KPRP PE=1 SV=1,KPRP,3.7379E+4,3.1816E+4,4.4129E+4
sp|Q676U5|A16L1_HUMAN,Autophagy-related protein 16-1 OS=Homo sapiens OX=9606 GN=ATG16L1 PE=1 SV=2,ATG16L1,3.5166E+4,1.5684E+4,2.7468E+4
sp|Q6P996|PDXD1_HUMAN,Pyridoxal-dependent decarboxylase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PDXDC1 PE=1 SV=2,PDXDC1,3.1047E+5,3.0616E+5,2.8711E+5
sp|Q92520|FAM3C_HUMAN,Protein FAM3C OS=Homo sapiens OX=9606 GN=FAM3C PE=1 SV=1,FAM3C,1.7449E+5,1.6823E+5,1.3737E+5
sp|Q96I82|KAZD1_HUMAN,Kazal-type serine protease inhibitor domain-containing protein 1 OS=Homo sapiens OX=9606 GN=KAZALD1 PE=1 SV=1,KAZALD1,9.5841E+4,1.1804E+5,1.2480E+5
sp|Q96SU4|OSBL9_HUMAN,Oxysterol-binding protein-related protein 9 OS=Homo sapiens OX=9606 GN=OSBPL9 PE=1 SV=2,OSBPL9,1.1125E+4,3.5130E+3,5.9075E+3
