Protein,Protein Description,Protein Gene,Actis_MixA_01 Sum Normalized Area,Actis_MixA_02 Sum Normalized Area,Actis_MixA_03 Sum Normalized Area,Actis_MixB_01 Sum Normalized Area,Actis_MixB_02 Sum Normalized Area,Actis_MixB_03 Sum Normalized Area,Actis_MixC_01 Sum Normalized Area,Actis_MixC_02 Sum Normalized Area,Actis_MixC_03 Sum Normalized Area,Actis_MixD_01 Sum Normalized Area,Actis_MixD_02 Sum Normalized Area,Actis_MixD_03 Sum Normalized Area,Actis_MixE_01 Sum Normalized Area,Actis_MixE_02 Sum Normalized Area,Actis_MixE_03 Sum Normalized Area,Actis_MixF_01 Sum Normalized Area,Actis_MixF_02 Sum Normalized Area,Actis_MixF_03 Sum Normalized Area,Actis_MixG_01 Sum Normalized Area,Actis_MixG_02 Sum Normalized Area,Actis_MixG_03 Sum Normalized Area,Actis_MixH_01 Sum Normalized Area,Actis_MixH_02 Sum Normalized Area,Actis_MixH_03 Sum Normalized Area,Actis_MixI_01 Sum Normalized Area,Actis_MixI_02 Sum Normalized Area,Actis_MixI_03 Sum Normalized Area,Actis_MixJ_01 Sum Normalized Area,Actis_MixJ_02 Sum Normalized Area,Actis_MixJ_03 Sum Normalized Area,Actis_MixK_01 Sum Normalized Area,Actis_MixK_02 Sum Normalized Area,Actis_MixK_03 Sum Normalized Area,Actis_MixL_01 Sum Normalized Area,Actis_MixL_02 Sum Normalized Area,Actis_MixL_03 Sum Normalized Area,Actis_MixM_01 Sum Normalized Area,Actis_MixM_02 Sum Normalized Area,Actis_MixM_03 Sum Normalized Area,Actis_MixN_01 Sum Normalized Area,Actis_MixN_02 Sum Normalized Area,Actis_MixN_03 Sum Normalized Area
sp|Q9UJX5|APC4_HUMAN,Anaphase-promoting complex subunit 4 OS=Homo sapiens OX=9606 GN=ANAPC4 PE=1 SV=2,ANAPC4,3.6839E+4,2.1109E+4,2.8732E+4,2.4603E+4,1.4067E+4,2.7000E+4,1.5429E+4,1.9132E+4,1.0897E+4,#N/A,#N/A,4.9980E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|A0A075B6I9|LV746_HUMAN,Immunoglobulin lambda variable 7-46 OS=Homo sapiens OX=9606 GN=IGLV7-46 PE=1 SV=4,IGLV7-46,2.6449E+6,2.1951E+6,2.3742E+6,1.9417E+6,1.5764E+6,1.5374E+6,1.3909E+6,1.0881E+6,1.0201E+6,8.3182E+5,6.8166E+5,6.5322E+5,2.8243E+5,2.5429E+5,2.4479E+5,1.9890E+5,1.8224E+5,1.8514E+5,1.3729E+5,1.3332E+5,1.1972E+5,1.0406E+5,4.8255E+4,7.6726E+4,7.7646E+3,2.6462E+4,#N/A,#N/A,#N/A,#N/A,1.1559E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|A0A0G2JS06|LV539_HUMAN,Immunoglobulin lambda variable 5-39 OS=Homo sapiens OX=9606 GN=IGLV5-39 PE=1 SV=1,IGLV5-39,2.1299E+5,2.9131E+5,1.9371E+5,1.6824E+5,1.1695E+5,1.2545E+5,1.0528E+5,8.3355E+4,8.5935E+4,6.8860E+4,5.5211E+4,7.5415E+4,3.4417E+4,1.3630E+4,#N/A,1.5708E+4,1.3274E+4,2.3796E+4,2.3191E+4,8.0411E+3,1.5538E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O00161|SNP23_HUMAN,Synaptosomal-associated protein 23 OS=Homo sapiens OX=9606 GN=SNAP23 PE=1 SV=1,SNAP23,4.9544E+6,4.1784E+6,4.0870E+6,3.6681E+6,3.1956E+6,2.7867E+6,2.9212E+6,2.2870E+6,2.0897E+6,1.7057E+6,1.4323E+6,1.3511E+6,5.3162E+5,5.5793E+5,4.1180E+5,3.3956E+5,2.7546E+5,3.5097E+5,2.4396E+5,2.0602E+5,2.1352E+5,1.2395E+5,1.1007E+5,9.7434E+4,3.6127E+4,2.0607E+4,1.7512E+4,2.3599E+4,#N/A,1.9293E+4,1.4064E+4,#N/A,4.1748E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O95816|BAG2_HUMAN,BAG family molecular chaperone regulator 2 OS=Homo sapiens OX=9606 GN=BAG2 PE=1 SV=1,BAG2,1.1360E+5,9.6986E+4,9.7960E+4,1.1146E+5,5.2460E+4,3.6706E+4,4.2724E+4,2.9823E+4,2.9876E+4,1.1041E+4,2.4325E+4,1.5079E+4,#N/A,4.1570E+3,#N/A,#N/A,4.5050E+3,2.8132E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P00918|CAH2_HUMAN,Carbonic anhydrase 2 OS=Homo sapiens OX=9606 GN=CA2 PE=1 SV=2,CA2,6.7930E+6,5.8527E+6,5.9448E+6,2.6924E+7,8.3205E+6,2.4978E+7,1.9872E+7,1.6038E+7,9.1566E+6,1.6774E+7,1.3948E+7,1.9484E+7,4.9756E+7,6.3946E+5,5.5757E+5,6.0683E+5,4.6035E+5,4.2900E+5,3.6425E+5,3.2728E+5,3.0406E+5,2.2348E+5,1.9748E+5,1.8931E+5,7.3387E+4,5.5842E+4,2.4620E+4,5.6650E+4,2.9209E+4,3.1174E+4,1.9382E+4,2.7242E+4,2.9860E+4,1.2396E+4,8.1382E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P18440|ARY1_HUMAN,Arylamine N-acetyltransferase 1 OS=Homo sapiens OX=9606 GN=NAT1 PE=1 SV=2,NAT1,2.2615E+4,3.3987E+4,3.3357E+4,2.3681E+4,1.6300E+4,1.6966E+4,3.9663E+3,1.9396E+4,#N/A,9.0569E+3,#N/A,6.8552E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P21399|ACOHC_HUMAN,Cytoplasmic aconitate hydratase OS=Homo sapiens OX=9606 GN=ACO1 PE=1 SV=3,ACO1,1.0234E+6,8.4678E+5,7.7525E+5,8.1952E+5,6.8364E+5,5.9796E+5,5.8863E+5,4.7050E+5,5.0912E+5,4.5587E+5,3.1282E+5,3.2185E+5,9.8764E+4,9.8860E+4,8.3978E+4,4.0448E+4,1.3612E+4,1.8323E+4,3.9421E+4,2.2440E+4,3.4468E+4,2.0825E+3,7.9668E+3,2.4788E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P22626|ROA2_HUMAN,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2,HNRNPA2B1,1.6860E+4,1.3458E+4,1.8253E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P30049|ATPD_HUMAN,"ATP synthase subunit delta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1D PE=1 SV=2",ATP5F1D,7.4759E+5,6.0970E+5,6.2100E+5,5.8291E+5,4.5803E+5,4.3312E+5,4.3963E+5,3.4277E+5,2.9541E+5,2.5748E+5,2.1225E+5,1.6317E+5,8.7921E+4,7.2944E+4,6.4723E+4,6.4213E+4,4.6652E+4,4.9522E+4,4.6605E+4,4.0963E+4,3.3227E+4,2.8792E+4,2.1415E+4,2.2472E+4,#N/A,#N/A,2.4078E+3,#N/A,2.5748E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P48739|PIPNB_HUMAN,Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens OX=9606 GN=PITPNB PE=1 SV=2,PITPNB,3.5554E+5,4.1967E+5,4.6489E+5,3.4467E+5,2.6061E+5,2.2946E+5,2.5997E+5,1.7992E+5,2.0018E+5,1.0291E+5,8.7976E+4,6.4984E+4,2.5647E+4,2.3900E+4,1.7930E+4,4.5764E+4,4.3968E+3,8.2981E+3,1.3735E+4,4.7550E+3,4.4327E+3,1.8238E+3,5.5287E+3,5.5993E+3,#N/A,#N/A,#N/A,#N/A,1.1942E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P49720|PSB3_HUMAN,Proteasome subunit beta type-3 OS=Homo sapiens OX=9606 GN=PSMB3 PE=1 SV=2,PSMB3,1.0741E+6,9.6971E+5,9.6543E+5,7.4368E+5,7.0803E+5,6.3907E+5,6.0877E+5,5.5244E+5,4.0049E+5,4.0963E+5,3.4900E+5,2.4377E+5,9.7550E+4,6.9552E+4,7.5018E+4,7.4780E+4,4.6315E+4,4.9950E+4,3.4251E+4,2.7299E+4,3.0047E+4,2.3862E+4,2.4094E+4,2.5105E+4,#N/A,#N/A,4.8981E+3,4.6370E+3,6.6042E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P55285|CADH6_HUMAN,Cadherin-6 OS=Homo sapiens OX=9606 GN=CDH6 PE=1 SV=1,CDH6,7.7296E+5,6.7898E+5,6.8649E+5,5.6031E+5,4.9794E+5,4.5403E+5,4.9281E+5,3.4958E+5,3.4802E+5,2.7602E+5,2.3978E+5,2.2356E+5,9.3836E+4,8.6767E+4,9.9881E+4,6.5078E+4,5.2005E+4,6.0350E+4,9.3068E+4,3.5620E+4,2.9665E+4,6.1490E+3,8.2784E+3,2.7983E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P98164|LRP2_HUMAN,Low-density lipoprotein receptor-related protein 2 OS=Homo sapiens OX=9606 GN=LRP2 PE=1 SV=3,LRP2,4.6117E+3,5.9115E+3,2.8283E+3,4.0032E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.3500E+4,#N/A,1.0661E+4,#N/A,#N/A,#N/A,2.3170E+4,1.7380E+4,#N/A,#N/A,#N/A,#N/A,#N/A,1.5122E+4,#N/A,#N/A,#N/A,#N/A,#N/A,1.5978E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.7906E+4,#N/A,1.5220E+4,#N/A
sp|Q12884|SEPR_HUMAN,Prolyl endopeptidase FAP OS=Homo sapiens OX=9606 GN=FAP PE=1 SV=5,FAP,1.9472E+5,1.8837E+5,1.7717E+5,1.7942E+5,1.4827E+5,1.4081E+5,1.0839E+5,1.0399E+5,9.2960E+4,7.4984E+4,3.4950E+4,3.3319E+4,#N/A,#N/A,#N/A,7.5397E+3,#N/A,#N/A,#N/A,#N/A,2.8112E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q14088|RB33A_HUMAN,Ras-related protein Rab-33A OS=Homo sapiens OX=9606 GN=RAB33A PE=1 SV=2,RAB33A,3.0909E+5,2.9667E+5,2.7511E+5,2.6079E+5,2.2543E+5,2.3761E+5,1.7437E+5,1.3539E+5,1.4794E+5,1.0813E+5,8.9405E+4,9.3895E+4,2.3624E+4,1.4703E+4,2.2883E+4,1.2261E+4,#N/A,#N/A,#N/A,#N/A,6.1442E+3,#N/A,2.9489E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q3SXY8|AR13B_HUMAN,ADP-ribosylation factor-like protein 13B OS=Homo sapiens OX=9606 GN=ARL13B PE=1 SV=1,ARL13B,#N/A,#N/A,1.3203E+4,1.6923E+4,2.8738E+3,5.7154E+3,#N/A,#N/A,1.6812E+4,#N/A,#N/A,4.1297E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q5T5C0|STXB5_HUMAN,Syntaxin-binding protein 5 OS=Homo sapiens OX=9606 GN=STXBP5 PE=1 SV=1,STXBP5,8.8410E+5,7.5592E+5,7.4020E+5,5.0014E+5,4.1790E+5,4.9894E+5,4.0836E+5,3.6591E+5,3.2684E+5,2.9317E+5,2.2438E+5,2.5656E+5,8.6604E+4,7.1435E+4,4.3210E+4,4.2303E+4,2.6138E+4,1.9086E+4,2.4078E+4,3.6295E+4,#N/A,#N/A,1.2086E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q5VV67|PPRC1_HUMAN,Peroxisome proliferator-activated receptor gamma coactivator-related protein 1 OS=Homo sapiens OX=9606 GN=PPRC1 PE=1 SV=1,PPRC1,2.2012E+4,2.1234E+4,1.7607E+4,1.7256E+4,1.4473E+4,1.2670E+4,1.2618E+4,1.1292E+4,#N/A,1.1851E+4,#N/A,8.4696E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q5W111|SPRY7_HUMAN,SPRY domain-containing protein 7 OS=Homo sapiens OX=9606 GN=SPRYD7 PE=1 SV=2,SPRYD7,7.4315E+4,5.4020E+4,6.3348E+4,4.8572E+4,4.3391E+4,3.2789E+4,3.2450E+4,1.3865E+4,1.0380E+4,6.8032E+3,6.9238E+3,#N/A,#N/A,#N/A,2.9282E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q7Z3D6|GLUCM_HUMAN,"D-glutamate cyclase, mitochondrial OS=Homo sapiens OX=9606 GN=DGLUCY PE=1 SV=2",DGLUCY,2.0499E+5,1.7613E+5,1.5241E+5,1.1895E+5,1.0961E+5,9.3978E+4,1.1108E+5,6.0848E+4,8.8295E+4,7.2151E+4,2.3391E+4,2.8495E+4,#N/A,#N/A,#N/A,#N/A,#N/A,7.5039E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q8IXS8|HYCC2_HUMAN,Hyccin 2 OS=Homo sapiens OX=9606 GN=HYCC2 PE=1 SV=1,HYCC2,8.6410E+3,7.8604E+3,6.4315E+3,5.0292E+3,1.2325E+4,9.9974E+3,1.0804E+4,5.0261E+3,5.4621E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q8N9F7|GDPD1_HUMAN,Lysophospholipase D GDPD1 OS=Homo sapiens OX=9606 GN=GDPD1 PE=1 SV=2,GDPD1,6.0236E+4,4.5014E+4,6.1251E+4,4.0995E+4,3.0090E+4,1.7864E+4,2.4696E+4,2.3868E+4,2.2504E+4,#N/A,8.3443E+3,4.8819E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q8WTW3|COG1_HUMAN,Conserved oligomeric Golgi complex subunit 1 OS=Homo sapiens OX=9606 GN=COG1 PE=1 SV=1,COG1,1.9382E+5,1.5297E+5,1.2855E+5,1.3586E+5,9.5685E+4,8.7850E+4,1.0127E+5,7.1367E+4,5.1269E+4,4.7047E+4,2.4759E+4,2.4582E+4,3.5845E+3,#N/A,9.6681E+2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q99470|SDF2_HUMAN,Stromal cell-derived factor 2 OS=Homo sapiens OX=9606 GN=SDF2 PE=1 SV=2,SDF2,4.5278E+5,3.0668E+5,3.2741E+5,3.0720E+5,2.4930E+5,1.9801E+5,2.4451E+5,1.8780E+5,1.8811E+5,1.4970E+5,9.4983E+4,1.0289E+5,4.6360E+4,3.5960E+4,4.3960E+4,3.1774E+4,2.7005E+4,#N/A,#N/A,1.2430E+4,1.5056E+4,3.4744E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9BT23|LIMD2_HUMAN,LIM domain-containing protein 2 OS=Homo sapiens OX=9606 GN=LIMD2 PE=1 SV=1,LIMD2,2.2738E+4,2.2515E+4,2.4016E+4,1.4954E+4,1.2364E+4,1.1488E+4,1.1897E+4,1.1892E+4,8.2294E+3,7.6421E+3,5.2680E+3,7.6893E+3,5.9750E+2,5.1934E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9NPI6|DCP1A_HUMAN,mRNA-decapping enzyme 1A OS=Homo sapiens OX=9606 GN=DCP1A PE=1 SV=3,DCP1A,6.7970E+4,6.2669E+4,6.2337E+4,6.7119E+4,3.0366E+4,2.7235E+4,4.2829E+4,4.6053E+4,2.2941E+4,2.9109E+4,1.3678E+4,1.5822E+4,9.9966E+2,#N/A,1.1588E+4,#N/A,#N/A,1.1062E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9Y2B1|RXLT1_HUMAN,Ribitol-5-phosphate xylosyltransferase 1 OS=Homo sapiens OX=9606 GN=RXYLT1 PE=1 SV=1,RXYLT1,#N/A,3.4793E+3,3.7124E+3,3.2054E+4,1.0427E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9Y2U5|M3K2_HUMAN,Mitogen-activated protein kinase kinase kinase 2 OS=Homo sapiens OX=9606 GN=MAP3K2 PE=1 SV=2,MAP3K2,1.4216E+4,1.2322E+4,1.9884E+4,1.0788E+4,1.0216E+4,7.4120E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|B0I1T2|MYO1G_HUMAN,Unconventional myosin-Ig OS=Homo sapiens OX=9606 GN=MYO1G PE=1 SV=2,MYO1G,7.0286E+5,8.2615E+5,8.0752E+5,5.2479E+5,6.9918E+5,2.9058E+5,5.3918E+5,4.1995E+5,5.2441E+5,2.0115E+5,1.8132E+5,1.1216E+5,4.8011E+4,9.0727E+3,9.3294E+3,9.8118E+3,3.5127E+3,4.8771E+3,#N/A,3.8810E+3,1.9232E+4,6.9814E+3,2.9772E+3,3.3624E+3,1.0848E+4,#N/A,5.0894E+3,7.6446E+3,5.1029E+3,#N/A,9.4337E+3,#N/A,6.9396E+3,#N/A,7.6793E+3,#N/A,7.0772E+3,7.3720E+3,9.3691E+3,9.5947E+3,7.7399E+3,#N/A
sp|O14639|ABLM1_HUMAN,Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=3,ABLIM1,2.1896E+5,1.5655E+5,1.6648E+5,1.2360E+5,1.0738E+5,6.3867E+4,1.2767E+5,1.0881E+5,3.8785E+4,2.2200E+4,1.5641E+4,2.7340E+4,4.7261E+3,2.9360E+3,#N/A,2.5152E+3,1.2334E+3,6.3688E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O43529|CHSTA_HUMAN,Carbohydrate sulfotransferase 10 OS=Homo sapiens OX=9606 GN=CHST10 PE=1 SV=1,CHST10,1.9943E+4,1.1599E+4,1.5752E+4,5.1699E+4,2.2637E+4,2.8402E+4,4.6069E+4,3.5411E+4,7.8270E+3,5.6988E+3,3.4482E+4,5.3434E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O94916|NFAT5_HUMAN,Nuclear factor of activated T-cells 5 OS=Homo sapiens OX=9606 GN=NFAT5 PE=1 SV=1,NFAT5,2.4047E+3,#N/A,1.0272E+4,3.4672E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P02741|CRP_HUMAN,C-reactive protein OS=Homo sapiens OX=9606 GN=CRP PE=1 SV=1,CRP,2.2951E+7,1.9237E+7,2.0389E+7,1.7942E+7,1.4396E+7,1.5240E+7,1.2998E+7,1.0682E+7,1.0642E+7,7.8620E+6,6.6409E+6,6.8090E+6,2.4710E+6,2.2326E+6,1.9895E+6,1.8754E+6,1.5681E+6,1.5391E+6,1.2590E+6,1.2279E+6,1.2244E+6,7.6773E+5,6.5485E+5,7.3242E+5,2.9807E+5,2.6190E+5,2.2946E+5,1.6246E+5,1.9620E+5,1.8713E+5,1.4029E+5,7.0815E+4,1.1242E+5,7.2090E+4,6.5653E+4,1.5251E+4,9.5340E+3,8.9111E+3,#N/A,#N/A,#N/A,#N/A
sp|P06733|ENOA_HUMAN,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2,ENO1,1.5438E+7,1.3606E+7,1.4015E+7,1.1878E+7,9.4069E+6,9.8910E+6,8.4106E+6,7.2756E+6,6.8769E+6,5.1522E+6,4.2412E+6,4.1838E+6,1.6867E+6,1.4930E+6,1.3649E+6,1.1928E+6,1.0847E+6,1.0399E+6,8.2270E+5,7.2421E+5,6.5604E+5,4.8925E+5,3.7791E+5,3.7042E+5,1.8071E+5,1.3193E+5,1.5584E+5,1.1519E+5,1.4708E+5,1.1322E+5,9.5913E+4,7.2408E+4,7.3787E+4,9.2240E+4,5.5858E+4,2.2173E+4,5.5762E+4,5.0800E+4,3.4932E+4,#N/A,#N/A,1.6714E+4
sp|P16871|IL7RA_HUMAN,Interleukin-7 receptor subunit alpha OS=Homo sapiens OX=9606 GN=IL7R PE=1 SV=3,IL7R,3.1388E+5,2.6392E+5,2.3171E+5,2.5557E+5,2.0042E+5,1.7571E+5,1.6782E+5,1.6367E+5,1.0679E+5,1.0058E+5,4.4875E+4,5.7696E+4,4.8151E+4,#N/A,4.6390E+4,6.5043E+4,#N/A,5.3860E+3,2.3000E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P20472|PRVA_HUMAN,Parvalbumin alpha OS=Homo sapiens OX=9606 GN=PVALB PE=1 SV=2,PVALB,2.3076E+4,5.0861E+4,1.9099E+4,1.9103E+4,1.6550E+4,7.3415E+3,1.8771E+4,1.5890E+4,#N/A,3.0878E+3,8.7605E+2,1.0746E+4,#N/A,#N/A,#N/A,#N/A,#N/A,5.3592E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P27824|CALX_HUMAN,Calnexin OS=Homo sapiens OX=9606 GN=CANX PE=1 SV=2,CANX,1.0959E+7,9.7708E+6,9.5726E+6,8.6548E+6,6.8154E+6,7.0812E+6,6.6187E+6,5.2339E+6,5.0154E+6,3.9652E+6,3.3654E+6,3.1007E+6,1.4996E+6,1.2119E+6,1.1544E+6,1.0345E+6,8.9253E+5,8.4215E+5,7.2319E+5,6.5007E+5,6.4498E+5,6.1458E+5,4.2902E+5,3.7049E+5,1.9897E+5,2.2822E+5,1.9183E+5,2.1694E+5,1.3284E+5,1.1841E+5,1.5404E+5,1.0343E+5,1.4785E+5,1.6933E+5,7.5129E+4,5.1396E+4,1.1317E+5,6.8106E+4,6.5428E+4,1.0819E+5,7.3967E+4,5.6141E+4
