Protein,Protein Description,Protein Gene,Actis_2025_0407_151_200ng_2mzIso_4msIT_200agc_HeLa_01 Sum Normalized Area,Actis_2025_0407_154_200ng_2mzIso_4msIT_200agc_HeLa_02 Sum Normalized Area,Actis_2025_0407_155_200ng_2mzIso_4msIT_200agc_HeLa_03 Sum Normalized Area,Actis_2025_0407_150_200ng_3mzIso_6msIT_200agc_HeLa_01 Sum Normalized Area,Actis_2025_0407_152_200ng_3mzIso_6msIT_200agc_HeLa_02 Sum Normalized Area,Actis_2025_0407_157_200ng_3mzIso_6msIT_200agc_HeLa_03 Sum Normalized Area,Actis_2025_0407_149_200ng_4mzIso_8msIT_200agc_HeLa_01 Sum Normalized Area,Actis_2025_0407_153_200ng_4mzIso_8msIT_200agc_HeLa_02 Sum Normalized Area,Actis_2025_0407_156_200ng_4mzIso_8msIT_200agc_HeLa_03 Sum Normalized Area,Astral_2025_0407_151_200ng_2mzIso_4msIT_200agc_HeLa_01 Sum Normalized Area,Astral_2025_0407_154_200ng_2mzIso_4msIT_200agc_HeLa_02 Sum Normalized Area,Astral_2025_0407_155_200ng_2mzIso_4msIT_200agc_HeLa_03 Sum Normalized Area,Astral_2025_0407_150_200ng_3mzIso_6msIT_200agc_HeLa_01 Sum Normalized Area,Astral_2025_0407_152_200ng_3mzIso_6msIT_200agc_HeLa_02 Sum Normalized Area,Astral_2025_0407_157_200ng_3mzIso_6msIT_200agc_HeLa_03 Sum Normalized Area,Astral_2025_0407_149_200ng_4mzIso_8msIT_200agc_HeLa_01 Sum Normalized Area,Astral_2025_0407_153_200ng_4mzIso_8msIT_200agc_HeLa_02 Sum Normalized Area,Astral_2025_0407_156_200ng_4mzIso_8msIT_200agc_HeLa_03 Sum Normalized Area
sp|P07384|CAN1_HUMAN,Calpain-1 catalytic subunit OS=Homo sapiens OX=9606 GN=CAPN1 PE=1 SV=1,CAPN1,7.0741E+6,7.2599E+6,7.1400E+6,5.7002E+6,6.4646E+6,6.3688E+6,5.6648E+6,6.0242E+6,5.9665E+6,6.5048E+6,6.3276E+6,7.0299E+6,5.5684E+6,6.6527E+6,6.2950E+6,5.7513E+6,5.9299E+6,5.5099E+6
sp|P07437|TBB5_HUMAN,Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2,TUBB,1.9871E+8,2.2013E+8,2.1498E+8,1.9365E+8,2.1686E+8,2.2205E+8,1.6493E+8,1.8555E+8,1.7935E+8,2.0090E+8,2.0668E+8,2.3279E+8,2.0523E+8,2.0798E+8,2.2313E+8,1.6419E+8,1.8342E+8,1.8261E+8
sp|P09131|P3_HUMAN,P3 protein OS=Homo sapiens OX=9606 GN=SLC10A3 PE=2 SV=1,SLC10A3,3.0394E+4,2.5944E+4,#N/A,1.1154E+4,1.3468E+4,#N/A,1.4899E+4,1.2218E+4,1.2383E+4,8.3797E+3,2.1503E+4,#N/A,#N/A,1.4581E+4,#N/A,#N/A,#N/A,#N/A
sp|P0DPF2|NBPFK_HUMAN / sp|Q5TI25|NBPFE_HUMAN / sp|B4DH59|NBPFP_HUMAN / sp|Q5TAG4|NBPFC_HUMAN / sp|P0DPF3|NBPF9_HUMAN / sp|A0A087WUL8|NBPFJ_HUMAN,"Neuroblastoma breakpoint family member 20 OS=Homo sapiens OX=9606 GN=NBPF20 PE=1 SV=1
Neuroblastoma breakpoint family member 14 OS=Homo sapiens OX=9606 GN=NBPF14 PE=1 SV=2
Neuroblastoma breakpoint family member 26 OS=Homo sapiens OX=9606 GN=NBPF26 PE=5 SV=1
Neuroblastoma breakpoint family member 12 OS=Homo sapiens OX=9606 GN=NBPF12 PE=2 SV=3
Neuroblastoma breakpoint family member 9 OS=Homo sapiens OX=9606 GN=NBPF9 PE=1 SV=1
Neuroblastoma breakpoint family member 19 OS=Homo sapiens OX=9606 GN=NBPF19 PE=5 SV=1",NBPF20 / NBPF14 / NBPF26 / NBPF12 / NBPF9 / NBPF19,1.8940E+3,#N/A,#N/A,3.5085E+4,#N/A,4.0496E+4,1.1584E+4,#N/A,#N/A,#N/A,2.3594E+4,#N/A,#N/A,1.9742E+3,#N/A,#N/A,#N/A,#N/A
sp|P30049|ATPD_HUMAN,"ATP synthase subunit delta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1D PE=1 SV=2",ATP5F1D,3.8640E+6,3.1831E+6,2.7892E+6,5.2497E+6,4.6719E+6,4.6152E+6,3.0631E+6,2.7296E+6,2.9927E+6,3.3882E+6,3.4193E+6,3.3301E+6,4.9025E+6,5.1065E+6,4.7964E+6,2.8454E+6,2.4111E+6,2.8096E+6
sp|Q13772|NCOA4_HUMAN,Nuclear receptor coactivator 4 OS=Homo sapiens OX=9606 GN=NCOA4 PE=1 SV=1,NCOA4,1.6352E+6,1.8294E+6,1.7942E+6,1.2959E+6,1.6438E+6,1.6115E+6,1.3310E+6,1.6015E+6,1.6668E+6,1.7267E+6,1.9896E+6,2.1291E+6,1.4175E+6,1.7455E+6,1.6557E+6,1.1630E+6,1.7024E+6,1.8580E+6
sp|Q14CX7|NAA25_HUMAN,"N-alpha-acetyltransferase 25, NatB auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA25 PE=1 SV=1",NAA25,2.3475E+6,2.5260E+6,2.4296E+6,2.0969E+6,2.0690E+6,2.1208E+6,2.1901E+6,1.9555E+6,2.1600E+6,2.2013E+6,2.3351E+6,2.3428E+6,2.0948E+6,2.1443E+6,2.1137E+6,2.0599E+6,2.4075E+6,2.1379E+6
sp|Q15283|RASA2_HUMAN,Ras GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=RASA2 PE=1 SV=3,RASA2,1.0305E+5,1.3001E+5,1.5016E+5,1.3515E+5,1.5988E+5,1.4729E+5,1.4244E+5,1.7502E+5,2.3330E+5,1.1928E+5,1.7308E+5,9.8277E+4,5.6224E+4,1.3742E+5,8.4333E+4,5.0528E+4,1.0077E+5,8.3058E+4
sp|Q15468|STIL_HUMAN,SCL-interrupting locus protein OS=Homo sapiens OX=9606 GN=STIL PE=1 SV=2,STIL,2.6072E+5,2.5178E+5,2.7671E+5,2.5242E+5,1.8075E+5,1.9685E+5,2.2589E+5,2.0463E+5,1.7621E+5,1.1235E+5,2.3750E+5,2.2748E+5,1.6990E+5,1.3889E+5,2.6352E+5,1.2705E+5,2.3318E+5,1.4008E+5
sp|Q15904|VAS1_HUMAN,V-type proton ATPase subunit S1 OS=Homo sapiens OX=9606 GN=ATP6AP1 PE=1 SV=2,ATP6AP1,1.2414E+6,1.2823E+6,1.2739E+6,1.0428E+6,1.0961E+6,1.1368E+6,1.1667E+6,1.1289E+6,1.0834E+6,1.2390E+6,1.2775E+6,1.3227E+6,1.0414E+6,1.0909E+6,1.0712E+6,9.8304E+5,1.2465E+6,1.0866E+6
sp|Q5GLZ8|HERC4_HUMAN,Probable E3 ubiquitin-protein ligase HERC4 OS=Homo sapiens OX=9606 GN=HERC4 PE=1 SV=1,HERC4,1.2672E+6,1.3557E+6,1.1508E+6,1.1439E+6,1.4201E+6,1.3085E+6,1.1681E+6,1.1614E+6,1.0736E+6,1.0720E+6,1.2127E+6,1.2353E+6,1.1722E+6,1.0762E+6,1.0838E+6,8.9680E+5,1.0491E+6,9.9553E+5
sp|Q5VVW2|GARL3_HUMAN,GTPase-activating Rap/Ran-GAP domain-like protein 3 OS=Homo sapiens OX=9606 GN=GARNL3 PE=2 SV=2,GARNL3,5.9618E+4,7.0238E+4,5.6714E+4,5.9739E+4,5.3812E+4,7.5206E+4,6.6128E+4,5.8349E+4,4.9715E+4,6.4113E+4,9.8194E+4,4.7676E+4,8.3664E+4,#N/A,8.5094E+4,6.2582E+4,#N/A,6.7777E+4
sp|Q6NZ36|FAP20_HUMAN,Fanconi anemia core complex-associated protein 20 OS=Homo sapiens OX=9606 GN=FAAP20 PE=1 SV=2,FAAP20,3.1611E+4,4.0031E+4,4.9405E+4,4.2116E+4,4.1934E+4,3.4931E+4,3.8783E+4,5.1837E+4,4.5735E+4,1.8388E+4,2.8633E+4,3.4847E+4,2.3523E+4,4.9530E+4,3.6087E+4,4.1931E+4,4.6082E+4,4.5097E+4
sp|Q7L8J4|3BP5L_HUMAN,SH3 domain-binding protein 5-like OS=Homo sapiens OX=9606 GN=SH3BP5L PE=1 SV=1,SH3BP5L,7.9232E+4,4.9249E+4,9.1305E+4,5.3758E+4,1.0632E+5,5.9065E+4,9.5005E+4,6.0498E+4,2.8975E+4,1.0118E+5,8.5053E+4,9.6630E+4,5.8391E+4,1.0793E+5,9.4088E+4,2.4651E+4,2.7094E+4,5.1012E+4
sp|Q8IYB1|M21D2_HUMAN,Nucleotidyltransferase MB21D2 OS=Homo sapiens OX=9606 GN=MB21D2 PE=1 SV=3,MB21D2,2.3298E+5,2.0601E+5,2.6208E+5,1.6786E+5,5.7102E+5,4.2236E+5,2.0854E+5,2.2822E+5,2.2317E+5,2.0224E+5,1.5876E+5,1.8323E+5,1.6333E+5,6.0037E+5,1.5460E+5,1.4715E+5,1.8017E+5,1.6796E+5
sp|Q8N5S9|KKCC1_HUMAN,Calcium/calmodulin-dependent protein kinase kinase 1 OS=Homo sapiens OX=9606 GN=CAMKK1 PE=1 SV=2,CAMKK1,3.6800E+5,4.4289E+5,4.8811E+5,3.3684E+5,3.7254E+5,3.9133E+5,3.5885E+5,3.4916E+5,2.7096E+5,3.8910E+5,4.4667E+5,2.8360E+5,3.5300E+5,4.5807E+5,3.7402E+5,2.2358E+5,3.8382E+5,3.9261E+5
sp|Q8TAC1|RFESD_HUMAN,Rieske domain-containing protein OS=Homo sapiens OX=9606 GN=RFESD PE=1 SV=1,RFESD,#N/A,#N/A,#N/A,#N/A,#N/A,2.9288E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.1284E+3,#N/A,#N/A,2.0167E+3,#N/A
sp|Q8TB40|ABHD4_HUMAN,(Lyso)-N-acylphosphatidylethanolamine lipase OS=Homo sapiens OX=9606 GN=ABHD4 PE=1 SV=1,ABHD4,1.7156E+5,2.2011E+5,2.2703E+5,1.9524E+5,1.9810E+5,2.1627E+5,1.8949E+5,1.9431E+5,1.8699E+5,1.2394E+5,1.6275E+5,2.0768E+5,1.9050E+5,2.0455E+5,1.9139E+5,1.0994E+5,1.7138E+5,1.4254E+5
sp|Q8TCD1|CR032_HUMAN,UPF0729 protein C18orf32 OS=Homo sapiens OX=9606 GN=C18orf32 PE=1 SV=1,C18orf32,2.6521E+5,2.3132E+5,2.7262E+5,2.9494E+5,2.3659E+5,2.2538E+5,2.9866E+5,2.5860E+5,3.0949E+5,2.6205E+5,2.0881E+5,2.9349E+5,2.3194E+5,2.0030E+5,2.7678E+5,2.1221E+5,1.9903E+5,2.1488E+5
sp|Q8TE67|ES8L3_HUMAN,Epidermal growth factor receptor kinase substrate 8-like protein 3 OS=Homo sapiens OX=9606 GN=EPS8L3 PE=1 SV=2,EPS8L3,#N/A,#N/A,3.0491E+3,3.6205E+4,1.4218E+4,3.8514E+3,#N/A,6.3291E+3,1.4834E+4,1.5441E+4,9.7046E+3,#N/A,6.5731E+4,3.8878E+3,2.3585E+4,#N/A,3.5509E+3,3.5957E+3
sp|Q8WVJ2|NUDC2_HUMAN,NudC domain-containing protein 2 OS=Homo sapiens OX=9606 GN=NUDCD2 PE=1 SV=1,NUDCD2,7.2448E+5,6.4137E+5,6.6709E+5,7.1102E+5,6.6044E+5,6.4188E+5,6.4567E+5,5.9342E+5,6.3087E+5,5.9309E+5,6.4430E+5,6.5866E+5,6.8299E+5,6.8623E+5,6.6703E+5,6.1330E+5,5.9534E+5,6.2356E+5
sp|Q969X1|LFG3_HUMAN,Protein lifeguard 3 OS=Homo sapiens OX=9606 GN=TMBIM1 PE=1 SV=2,TMBIM1,7.2019E+3,1.3829E+4,1.8877E+4,9.8602E+3,2.0458E+4,2.9220E+4,2.1743E+4,5.5790E+3,9.7735E+3,#N/A,1.7050E+4,2.2733E+4,1.1880E+4,2.8002E+4,3.6691E+4,6.0790E+3,1.4716E+4,1.9525E+4
sp|Q96CG3|TIFA_HUMAN,TRAF-interacting protein with FHA domain-containing protein A OS=Homo sapiens OX=9606 GN=TIFA PE=1 SV=1,TIFA,2.7657E+4,4.9684E+4,#N/A,1.8727E+4,5.9167E+3,1.1808E+4,#N/A,4.2218E+4,3.1928E+4,1.2877E+4,1.3674E+4,#N/A,#N/A,5.0782E+3,7.8123E+3,3.5226E+4,5.3869E+3,3.2621E+4
sp|Q96JF6|ZN594_HUMAN,Zinc finger protein 594 OS=Homo sapiens OX=9606 GN=ZNF594 PE=2 SV=3,ZNF594,4.9663E+4,2.8818E+4,4.6870E+4,7.5796E+4,7.5183E+4,8.5822E+4,5.8603E+4,5.7362E+4,7.6004E+4,4.2894E+4,5.8676E+4,4.0819E+4,8.3330E+4,3.8024E+4,4.5966E+4,8.1546E+4,3.1825E+4,5.0504E+4
sp|Q96K80|ZC3HA_HUMAN,Zinc finger CCCH domain-containing protein 10 OS=Homo sapiens OX=9606 GN=ZC3H10 PE=1 SV=1,ZC3H10,7.9140E+4,1.1989E+5,8.1923E+4,7.4467E+4,9.3223E+4,7.4875E+4,7.0743E+4,1.7621E+5,1.4193E+5,8.4701E+4,7.7416E+4,1.1846E+5,2.2281E+5,1.0115E+5,1.5252E+5,1.6301E+5,1.3751E+5,1.6415E+5
sp|Q96P71|NECA3_HUMAN,N-terminal EF-hand calcium-binding protein 3 OS=Homo sapiens OX=9606 GN=NECAB3 PE=1 SV=2,NECAB3,2.7260E+4,4.8221E+3,3.0058E+4,2.0168E+4,6.6232E+3,4.5343E+3,2.7800E+4,9.0861E+3,1.6137E+4,#N/A,2.3751E+4,2.2385E+4,2.2057E+4,#N/A,3.5824E+4,3.4230E+3,#N/A,#N/A
sp|Q99956|DUS9_HUMAN,Dual specificity protein phosphatase 9 OS=Homo sapiens OX=9606 GN=DUSP9 PE=1 SV=1,DUSP9,2.9023E+5,3.4332E+5,3.3212E+5,2.0899E+5,3.4603E+5,2.9874E+5,2.2630E+5,3.3572E+5,3.1827E+5,1.6889E+5,2.5864E+5,2.8856E+5,1.7399E+5,2.4920E+5,2.4036E+5,1.4396E+5,3.3238E+5,2.6855E+5
sp|Q9BU19|ZN692_HUMAN,Zinc finger protein 692 OS=Homo sapiens OX=9606 GN=ZNF692 PE=1 SV=1,ZNF692,7.5532E+4,8.0517E+4,6.9949E+4,1.1885E+5,1.2350E+5,1.0143E+5,1.0587E+5,9.0581E+4,1.6919E+5,7.2129E+4,5.6349E+4,1.0053E+5,8.3014E+4,9.6102E+4,1.0690E+5,6.6732E+4,6.7381E+4,7.9568E+4
sp|Q9BWG4|SSBP4_HUMAN,Single-stranded DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=SSBP4 PE=1 SV=1,SSBP4,1.0736E+5,9.7465E+4,9.9238E+4,1.2479E+5,1.1721E+5,1.1139E+5,1.1017E+5,9.4160E+4,9.4080E+4,1.0443E+5,1.0689E+5,7.8010E+4,9.8906E+4,8.1008E+4,7.9709E+4,1.0569E+5,9.2152E+4,9.3333E+4
sp|Q9BXI6|TB10A_HUMAN,TBC1 domain family member 10A OS=Homo sapiens OX=9606 GN=TBC1D10A PE=1 SV=1,TBC1D10A,8.4765E+4,6.0102E+4,7.5516E+4,1.4628E+5,1.4366E+5,1.4630E+5,1.4178E+5,1.7551E+5,1.2156E+5,6.2165E+4,8.2793E+4,6.9045E+4,1.0971E+5,2.4494E+5,4.2030E+4,9.5044E+4,1.3881E+5,1.2705E+5
sp|Q9BY41|HDAC8_HUMAN,Histone deacetylase 8 OS=Homo sapiens OX=9606 GN=HDAC8 PE=1 SV=2,HDAC8,5.0323E+4,4.1146E+4,3.2786E+4,4.9319E+4,8.1896E+4,5.7710E+4,6.3780E+4,5.8563E+4,5.3725E+4,3.3175E+4,4.5937E+4,5.6264E+4,6.3845E+4,5.8176E+4,4.2872E+4,7.1145E+4,5.5885E+4,3.0940E+4
sp|Q9BYE7|PCGF6_HUMAN,Polycomb group RING finger protein 6 OS=Homo sapiens OX=9606 GN=PCGF6 PE=1 SV=2,PCGF6,2.6336E+5,2.3171E+5,2.6008E+5,1.6493E+5,2.2837E+5,2.3038E+5,1.7426E+5,2.2954E+5,2.3101E+5,2.3207E+5,2.5012E+5,2.0710E+5,1.9298E+5,1.4431E+5,2.2924E+5,1.7363E+5,1.3419E+5,1.6131E+5
sp|Q9BYW2|SETD2_HUMAN,Histone-lysine N-methyltransferase SETD2 OS=Homo sapiens OX=9606 GN=SETD2 PE=1 SV=3,SETD2,1.0381E+6,1.3005E+6,1.2919E+6,1.2649E+6,1.0768E+6,1.1916E+6,1.4312E+6,2.0096E+6,1.2026E+6,1.0041E+6,1.2965E+6,1.0927E+6,9.1148E+5,1.0978E+6,1.1271E+6,1.0342E+6,9.8301E+5,1.3268E+6
sp|Q9H093|NUAK2_HUMAN,NUAK family SNF1-like kinase 2 OS=Homo sapiens OX=9606 GN=NUAK2 PE=1 SV=1,NUAK2,2.3916E+4,2.6958E+4,3.0931E+4,8.4258E+3,1.4522E+4,2.0113E+4,1.0018E+4,4.7748E+4,1.6096E+4,6.3692E+3,2.3800E+4,3.1406E+4,9.4357E+3,5.2936E+4,1.6522E+4,#N/A,2.7689E+4,2.6089E+4
sp|Q9H469|FXL15_HUMAN,F-box/LRR-repeat protein 15 OS=Homo sapiens OX=9606 GN=FBXL15 PE=1 SV=2,FBXL15,1.7296E+5,2.0454E+5,1.9897E+5,1.6897E+5,2.0013E+5,2.1150E+5,2.0214E+5,2.7028E+5,2.4190E+5,1.8432E+5,1.6224E+5,9.5690E+4,1.4684E+5,2.3233E+5,2.2396E+5,1.8720E+5,2.2525E+5,2.8554E+5
sp|Q9NXE4|NSMA3_HUMAN,Sphingomyelin phosphodiesterase 4 OS=Homo sapiens OX=9606 GN=SMPD4 PE=1 SV=3,SMPD4,2.0574E+6,1.8985E+6,1.9319E+6,1.8732E+6,1.7514E+6,1.7485E+6,1.7832E+6,1.7672E+6,1.5951E+6,1.7646E+6,1.7545E+6,2.1828E+6,1.7028E+6,2.3406E+6,1.9437E+6,1.6630E+6,2.2147E+6,1.6999E+6
sp|Q9UBN6|TR10D_HUMAN,Tumor necrosis factor receptor superfamily member 10D OS=Homo sapiens OX=9606 GN=TNFRSF10D PE=1 SV=2,TNFRSF10D,6.9287E+4,9.2261E+4,6.9497E+4,9.1255E+4,7.3782E+4,1.0057E+5,1.1946E+5,5.1338E+4,8.5609E+4,3.4628E+4,5.8032E+4,4.5769E+4,5.7225E+4,1.0573E+5,1.1471E+5,6.5633E+4,8.5030E+4,1.2009E+5
sp|Q9UHB9|SRP68_HUMAN,Signal recognition particle subunit SRP68 OS=Homo sapiens OX=9606 GN=SRP68 PE=1 SV=2,SRP68,5.1481E+6,5.2393E+6,5.3644E+6,4.7420E+6,5.0103E+6,4.7158E+6,5.7994E+6,4.9158E+6,4.9826E+6,4.9949E+6,5.1301E+6,5.4165E+6,5.2893E+6,5.5842E+6,6.1159E+6,5.0499E+6,5.1121E+6,5.5092E+6
sp|Q9UNQ0|ABCG2_HUMAN,Broad substrate specificity ATP-binding cassette transporter ABCG2 OS=Homo sapiens OX=9606 GN=ABCG2 PE=1 SV=3,ABCG2,1.3676E+5,1.2362E+5,1.5662E+5,1.7994E+5,1.6046E+5,2.4653E+5,2.9216E+5,1.3272E+5,4.5133E+5,6.1538E+4,1.0824E+5,1.2518E+5,1.3696E+5,1.0226E+5,1.7297E+5,1.6379E+5,9.1647E+4,1.4576E+5
sp|Q9Y4F1|FARP1_HUMAN,"FERM, ARHGEF and pleckstrin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FARP1 PE=1 SV=1",FARP1,#N/A,#N/A,#N/A,1.0879E+4,#N/A,#N/A,#N/A,#N/A,#N/A,7.1276E+3,#N/A,#N/A,7.3466E+3,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9Y5W8|SNX13_HUMAN,Sorting nexin-13 OS=Homo sapiens OX=9606 GN=SNX13 PE=1 SV=4,SNX13,1.2146E+5,7.9943E+4,1.2401E+5,1.8421E+5,1.3770E+5,1.6906E+5,1.3180E+5,1.1524E+5,1.3939E+5,1.0669E+5,8.6663E+4,9.9882E+4,9.7558E+4,1.1186E+5,1.1699E+5,1.1499E+5,9.4402E+4,1.1429E+5
sp|Q9Y6A4|CFA20_HUMAN,Cilia- and flagella-associated protein 20 OS=Homo sapiens OX=9606 GN=CFAP20 PE=1 SV=1,CFAP20,8.6351E+5,8.4638E+5,8.4652E+5,7.4983E+5,7.4861E+5,7.2802E+5,7.2185E+5,7.1613E+5,7.5190E+5,1.0156E+6,9.5199E+5,9.2624E+5,8.3789E+5,8.9564E+5,9.9289E+5,8.2186E+5,9.0924E+5,8.0656E+5
sp|A3QJZ6|PRA22_HUMAN / sp|Q5VWM3|PRA18_HUMAN / sp|Q5SWL8|PRA19_HUMAN,"PRAME family member 22 OS=Homo sapiens OX=9606 GN=PRAMEF22 PE=3 SV=3
PRAME family member 18 OS=Homo sapiens OX=9606 GN=PRAMEF18 PE=3 SV=2
PRAME family member 19 OS=Homo sapiens OX=9606 GN=PRAMEF19 PE=3 SV=2",PRAMEF22 / PRAMEF18 / PRAMEF19,2.4931E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.1803E+4,#N/A,#N/A,#N/A,2.6764E+4,#N/A,2.1625E+4
sp|O43681|GET3_HUMAN,ATPase GET3 OS=Homo sapiens OX=9606 GN=GET3 PE=1 SV=2,GET3,2.8554E+6,2.7285E+6,2.9323E+6,2.1199E+6,2.1951E+6,2.1929E+6,2.1574E+6,2.2886E+6,2.2468E+6,2.9170E+6,2.8194E+6,2.9064E+6,2.1910E+6,2.2231E+6,2.1727E+6,2.1730E+6,2.1523E+6,2.2846E+6
sp|P06493|CDK1_HUMAN,Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3,CDK1,1.0158E+7,9.7732E+6,9.7741E+6,8.9834E+6,8.6082E+6,8.4233E+6,8.1814E+6,7.9031E+6,7.8351E+6,9.7969E+6,1.0178E+7,1.0243E+7,8.4223E+6,8.7219E+6,8.7936E+6,7.8238E+6,7.8169E+6,8.3779E+6
sp|P0DSO3|GAGE4_HUMAN / sp|A1L429|GG12C_HUMAN / sp|Q13069|GAGE5_HUMAN / sp|O76087|GAGE7_HUMAN / sp|A6NDE8|GG12H_HUMAN / sp|P0CL82|GG12I_HUMAN / sp|Q4V321|GAG13_HUMAN / sp|Q13070|GAGE6_HUMAN / sp|P0CL81|GG12G_HUMAN / sp|P0CL80|GG12F_HUMAN,"G antigen 4 OS=Homo sapiens OX=9606 GN=GAGE4 PE=5 SV=1
G antigen 12B/C/D/E OS=Homo sapiens OX=9606 GN=GAGE12E PE=1 SV=1
G antigen 5 OS=Homo sapiens OX=9606 GN=GAGE5 PE=1 SV=1
G antigen 7 OS=Homo sapiens OX=9606 GN=GAGE7 PE=2 SV=1
G antigen 12H OS=Homo sapiens OX=9606 GN=GAGE12H PE=3 SV=1
G antigen 12I OS=Homo sapiens OX=9606 GN=GAGE12I PE=1 SV=1
G antigen 13 OS=Homo sapiens OX=9606 GN=GAGE13 PE=3 SV=2
G antigen 6 OS=Homo sapiens OX=9606 GN=GAGE6 PE=1 SV=1
G antigen 12G OS=Homo sapiens OX=9606 GN=GAGE12G PE=3 SV=1
G antigen 12F OS=Homo sapiens OX=9606 GN=GAGE12F PE=3 SV=1",GAGE4 / GAGE12E / GAGE5 / GAGE7 / GAGE12H / GAGE12I / GAGE13 / GAGE6 / GAGE12G / GAGE12F,4.2868E+5,6.1347E+5,5.2011E+5,2.4520E+5,3.8160E+5,3.4097E+5,2.9178E+5,3.8158E+5,3.5007E+5,3.6696E+5,3.9133E+5,5.1713E+5,2.7597E+5,3.9111E+5,3.7242E+5,2.8944E+5,1.9050E+5,3.2918E+5
sp|P20742|PZP_HUMAN,Pregnancy zone protein OS=Homo sapiens OX=9606 GN=PZP PE=1 SV=4,PZP,1.8854E+5,1.4566E+5,1.7436E+5,1.7525E+5,7.0409E+4,1.5923E+5,5.0939E+4,1.4395E+5,1.4210E+5,1.6797E+5,1.7557E+5,1.8498E+5,1.5397E+5,1.6406E+5,1.8560E+5,1.6554E+5,5.6814E+4,1.5337E+5
sp|P42224|STAT1_HUMAN,Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens OX=9606 GN=STAT1 PE=1 SV=2,STAT1,4.9274E+6,5.0034E+6,4.9182E+6,4.8718E+6,4.7131E+6,4.8452E+6,6.2321E+6,4.1517E+6,4.0932E+6,5.5817E+6,4.7243E+6,7.0349E+6,4.0455E+6,4.8945E+6,4.9982E+6,4.0752E+6,4.5023E+6,4.2221E+6
sp|P47944|MT4_HUMAN,Metallothionein-4 OS=Homo sapiens OX=9606 GN=MT4 PE=3 SV=2,MT4,#N/A,1.3221E+3,#N/A,6.9725E+2,1.4095E+3,#N/A,1.6042E+3,#N/A,1.6000E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q04724|TLE1_HUMAN,Transducin-like enhancer protein 1 OS=Homo sapiens OX=9606 GN=TLE1 PE=1 SV=2,TLE1,4.6790E+5,4.6142E+5,4.9002E+5,4.8910E+5,4.5183E+5,4.2804E+5,3.9658E+5,3.4537E+5,4.1011E+5,4.2962E+5,3.7005E+5,4.7373E+5,4.2316E+5,4.5288E+5,4.4729E+5,3.7932E+5,4.5415E+5,4.0795E+5
sp|Q13164|MK07_HUMAN,Mitogen-activated protein kinase 7 OS=Homo sapiens OX=9606 GN=MAPK7 PE=1 SV=2,MAPK7,1.0512E+5,1.4242E+5,1.6475E+5,1.1489E+5,2.5054E+5,1.1607E+5,1.2503E+5,3.5373E+5,8.8906E+4,1.0373E+5,1.0820E+5,1.4323E+5,1.3900E+5,9.9745E+4,1.2247E+5,8.8869E+4,1.3445E+5,1.5622E+5
sp|Q13188|STK3_HUMAN,Serine/threonine-protein kinase 3 OS=Homo sapiens OX=9606 GN=STK3 PE=1 SV=2,STK3,1.0854E+6,1.2118E+6,1.2076E+6,1.0651E+6,1.0933E+6,1.1039E+6,1.0194E+6,1.0810E+6,1.0394E+6,1.2702E+6,1.1074E+6,1.2163E+6,1.0758E+6,1.0574E+6,1.0756E+6,9.9637E+5,1.0188E+6,1.1123E+6
sp|Q14103|HNRPD_HUMAN,Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1,HNRNPD,1.8544E+7,1.8678E+7,1.8540E+7,1.7382E+7,1.8069E+7,1.8946E+7,1.4331E+7,1.5073E+7,1.5240E+7,1.6628E+7,1.7410E+7,1.8841E+7,1.6794E+7,1.7102E+7,1.8308E+7,1.3834E+7,1.5621E+7,1.4917E+7
sp|Q15435|PP1R7_HUMAN,Protein phosphatase 1 regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PPP1R7 PE=1 SV=1,PPP1R7,1.4068E+6,1.4158E+6,1.4037E+6,1.2346E+6,1.2817E+6,1.2752E+6,1.1615E+6,1.1990E+6,1.2297E+6,1.3519E+6,1.3275E+6,1.4240E+6,1.2637E+6,1.3347E+6,1.2962E+6,1.2697E+6,1.2812E+6,1.2367E+6
